# 도서산간 우편번호 시드 — 출처: 택배사 공통 기준표(campaignus/imweb 게시본, 2026-07-20 확인)
# 원본 오탈자 보정 2건: '경남 통영 54000'→전북 군산 섬지역, '전남 신안 28826'→58826
# 연륙교 연결 지역은 미포함 — 목록에 없으면 일반 판정 (추가비 과청구 방지 원칙)
# 교차 검증 2026-07-20: 독립 출처(도매꾹 지역표) 표본 12개 중 11개 일치. 차이는 15654(대부도·연륙교)뿐 — 위 원칙과 일치
# 공식 단일 출처 부재 확인 (CJ·우체국 미공개). 택배사 계약 확정 시 해당 사 기준표로 최종 정렬 예정
zip_code,kind,region_name
63315,jeju,제주특별자치도
63316,jeju,제주특별자치도
63317,jeju,제주특별자치도
63318,jeju,제주특별자치도
63319,jeju,제주특별자치도
63320,jeju,제주특별자치도
63321,jeju,제주특별자치도
63322,jeju,제주특별자치도
63323,jeju,제주특별자치도
63324,jeju,제주특별자치도
63325,jeju,제주특별자치도
63326,jeju,제주특별자치도
63327,jeju,제주특별자치도
63328,jeju,제주특별자치도
63329,jeju,제주특별자치도
63330,jeju,제주특별자치도
63331,jeju,제주특별자치도
63332,jeju,제주특별자치도
63333,jeju,제주특별자치도
63334,jeju,제주특별자치도
63335,jeju,제주특별자치도
63336,jeju,제주특별자치도
63337,jeju,제주특별자치도
63338,jeju,제주특별자치도
63339,jeju,제주특별자치도
63340,jeju,제주특별자치도
63341,jeju,제주특별자치도
63342,jeju,제주특별자치도
63343,jeju,제주특별자치도
63344,jeju,제주특별자치도
63345,jeju,제주특별자치도
63346,jeju,제주특별자치도
63347,jeju,제주특별자치도
63348,jeju,제주특별자치도
63349,jeju,제주특별자치도
63350,jeju,제주특별자치도
63351,jeju,제주특별자치도
63352,jeju,제주특별자치도
63353,jeju,제주특별자치도
63354,jeju,제주특별자치도
63355,jeju,제주특별자치도
63356,jeju,제주특별자치도
63357,jeju,제주특별자치도
63358,jeju,제주특별자치도
63359,jeju,제주특별자치도
63360,jeju,제주특별자치도
63361,jeju,제주특별자치도
63362,jeju,제주특별자치도
63363,jeju,제주특별자치도
63364,jeju,제주특별자치도
63365,jeju,제주특별자치도
63366,jeju,제주특별자치도
63367,jeju,제주특별자치도
63368,jeju,제주특별자치도
63369,jeju,제주특별자치도
63370,jeju,제주특별자치도
63371,jeju,제주특별자치도
63372,jeju,제주특별자치도
63373,jeju,제주특별자치도
63374,jeju,제주특별자치도
63375,jeju,제주특별자치도
63376,jeju,제주특별자치도
63377,jeju,제주특별자치도
63378,jeju,제주특별자치도
63379,jeju,제주특별자치도
63380,jeju,제주특별자치도
63381,jeju,제주특별자치도
63382,jeju,제주특별자치도
63383,jeju,제주특별자치도
